,name,ad,item,text,who,page
1,Hon Barnaby Joyce MP (Old),Addition,Real estate,"Gwabegar, Additional information referencing location of rural property",Self,10
2,Hon Barnaby Joyce MP (Old),Addition,Travel or hospitality,"13 May 2017 guest of the City vs. Country at the Essendon -v- Geelong AFL Match in Melbourne, which included tickets and hospitality in the form of food and drinks.",Self,15
3,Hon Barnaby Joyce MP (Old),Addition,Gift,Penfolds Bin 707 Cabernet Sauvignon 2004,Self,17
4,Hon Barnaby Joyce MP (Old),Addition,Gift,"A cowboy style hat from Dr Robert Puckett
A book titled Where did Oz go wrong from David Rees
A leather case for an ipad from Vice President of Argentina Gabriela Michetti ",Self,11
5,Hon Barnaby Joyce MP (Old),Addition,Gift,An artwork gift from Mr Barry Kantilla ,Self,18
6,Hon Barnaby Joyce MP (Old),Addition,Real estate,"Gwabegar, Additional information referencing location of rural property ",Self,10
7,Hon Barnaby Joyce MP (Old),Addition,Real estate,"Gwabegar, Additional information referencing location of rural property ",Spouse,10
9,Hon Barnaby Joyce MP (Old),Addition,Other asset,"Cattle
Sheep
Grain
Paintings ",Self,5
10,Hon Barnaby Joyce MP (Old),Addition,Other asset,"Cattle
Sheep
Grain
Paintings ",Spouse,5
13,Hon Barnaby Joyce MP (Old),Addition,Gift,"Monogrammed Backpack, Polo shirt and compendium from Rural Financial Counselling Service NSW
Picnic Pack from Rural Financial Counselling Service NSW includes Manbucca Macnuts (200g) Jenny's Kitchen Tropical Passionfruit Jam (300g) The Honey Place Honey (330g) Valerie and Courtneys Sweetly Spiced Sauce (500g) Macro Organic Chunky Tomato basil and garlic pasta sauce Petersons Armidale 2012 Sauvignon Blanc Semillon",Self,13
14,Hon Barnaby Joyce MP (Old),Addition,Gift,"Christmas pudding from Croplife
Hamper from Australian Food and Grocery Council 
Hamper from Qantas
Christmas ham from Australian Pork Limited 
Royal Porcelain Manufacturer polar bear statue and two bottles of Juliusspitalwine from Mr Christian Schmidt Agricultural Minister in Germany 
Royal Porcelain Manufacturer dish from Ms Edelgard Bulmahn Vice President of the Bundestag 
Akubra hat from Central Queensland University 
Clock from Mr Thomas Lemborg Chairman BKPM
Havana Club rum and 5 Cohiba cigars from Jose Manuel Galego Montano Ambassador of Cuba 
Book Armenia, Australia and the Great War from the Armenia National Committee of Australia 
Talijancich port and port sipper from the City of Swan 
Book Milan Louis Vuitton City Guide from European Australian Business Council ",Self,8
16,Hon Barnaby Joyce MP (Old),Addition,Travel or hospitality,Chairman's Lounge,Self,6
